Initial_Speed,Final_Speed,Speed_Change,Car_Type,Weather,Location,Observer,Date,Source
29,28,1,Suv,,,,,cars_count.xlsx
27,31,-4,Suv,,,,,cars_count.xlsx
26,35,-9,Suv,,,,,cars_count.xlsx
34,35,-1,Sedan,,,,,cars_count.xlsx
20,30,-10,Suv,,,,,cars_count.xlsx
11,30,-19,Truck,,,,,cars_count.xlsx
36,38,-2,Truck,,,,,cars_count.xlsx
33,33,0,Suv,,,,,cars_count.xlsx
31,37,-6,Sedan,,,,,cars_count.xlsx
14,26,-12,Truck,,,,,cars_count.xlsx
25,25,0,Suv,,,,,cars_count.xlsx
31,33,-2,Suv,,,,,cars_count.xlsx
27,28,-1,Suv,,,,,cars_count.xlsx
33,34,-1,Suv,,,,,cars_count.xlsx
36,34,2,Suv,,,,,cars_count.xlsx
20,26,-6,Sedan,,,,,cars_count.xlsx
34,36,-2,Sedan,,,,,cars_count.xlsx
19,28,-9,Truck,,,,,cars_count.xlsx
28,33,-5,Sedan,,,,,cars_count.xlsx
38,37,1,Suv,,,,,cars_count.xlsx
30,34,-4,Suv,,,,,cars_count.xlsx
20,32,-12,Suv,,,,,cars_count.xlsx
26,35,-9,Sedan,,,,,cars_count.xlsx
29,30,-1,Suv,,,,,cars_count.xlsx
28,27,1,Suv,,,,,cars_count.xlsx
27,30,-3,Sedan,,,,,cars_count.xlsx
27,27,0,Truck,,,,,cars_count.xlsx
33,34,-1,Suv,,,,,cars_count.xlsx
34,34,0,Sedan,,,,,cars_count.xlsx
34,35,-1,Truck,,,,,cars_count.xlsx
21,23,-2,Suv,,,,,cars_count.xlsx
19,31,-12,Sedan,,,,,cars_count.xlsx
41,40,1,Suv,,,,,cars_count.xlsx
21,34,-13,Sedan,,,,,cars_count.xlsx
25,28,-3,Suv,,,,,cars_count.xlsx
37,37,0,Sedan,,,,,cars_count.xlsx
31,31,0,Suv,,,,,cars_count.xlsx
27,28,-1,Suv,,,,,cars_count.xlsx
36,40,-4,Suv,,,,,cars_count.xlsx
28,38,-10,Suv,,,,,cars_count.xlsx
19,24,-5,Suv,,,,,cars_count.xlsx
25,26,-1,Suv,,,,,cars_count.xlsx
32,33,-1,Sedan,,,,,cars_count.xlsx
36,36,0,Suv,,,,,cars_count.xlsx
23,29,-6,Truck,,,,,cars_count.xlsx
19,30,-11,Truck,,,,,cars_count.xlsx
25,26,-1,Suv,,,,,cars_count.xlsx
21,25,-4,Suv,,,,,cars_count.xlsx
30,30,0,Suv,,,,,cars_count.xlsx
29,27,2,Sedan,,,,,cars_count.xlsx
